profit_margin,receivables_ratio,emi_ratio,cash_buffer_months,distress
0.26968702756602014,0.44571713467786034,0.08572807102190486,0.4271626579518778,1
0.10176943068522426,0.05707183671251732,0.4012052775035995,0.6510925725231242,1
0.18321990001806904,0.3088011588884925,0.049101413553620986,0.7268448926881196,1
0.3130615694688252,0.2068396073077173,0.19054677849294585,1.5147930114141854,0
0.27354062601101337,0.29157837502731326,0.2758086836627014,1.44814890809127,0
0.33141408285289864,0.1138088993836668,0.11633693545296883,0.48451060662448825,1
0.11822378280452947,0.021061642770825863,0.07840958790815872,0.3754069651273492,1
0.23672972045758361,0.40958938141037016,0.2907651236430028,0.5741733829303575,1
0.35578144853875476,0.16380256843611601,0.061015778241077706,1.7715861435054863,0
0.316385797129091,0.32483458895867107,0.1770159257796003,1.323815249305823,0
0.4065452189837096,0.1133184119061362,0.340976758285337,1.0225800131547644,0
0.3084760499167081,0.42529663617500074,0.275780313879066,1.2326368895110806,0
0.17792331673723885,0.3746684658694337,0.06149085663766228,0.7338436938402977,1
0.37089218348383535,0.14251267046956165,0.2815428620877566,0.7720112867908114,1
0.23252750642012804,0.042615942479079696,0.449997965263841,1.4474752041437127,1
0.14729170069857497,0.6478346097300829,0.13724548136332626,0.23382221195508252,1
0.11197464371970083,0.07856879703864844,0.2911235475401016,0.3616937209838333,1
0.2450472832885724,0.43492577267279614,0.3908897656393523,0.7462971932597445,1
0.29553769042965033,0.21542223472950053,0.19060585087098827,1.242312841441558,0
0.030000242671325957,0.490951392933411,0.12164810231023103,0.30549388005278727,1
0.33740635444614914,0.1380064615735119,0.11787645452055658,6.0,0
0.09457151159906159,0.35349791030248046,0.33643303163251564,0.46819208951095664,1
0.37063888435006853,0.2652616846995972,0.16227861410475913,0.4634973670694608,1
0.28142130704173196,0.30186408511707563,0.1760069299794349,0.9795386887644534,0
0.344262785514487,0.1128445993448312,0.4387462043588171,1.744445458278206,1
0.2059746738754222,0.5262749591225369,0.449998209746142,1.8806986426971697,1
0.06961277070715743,0.07670834186431014,0.1789545755756483,1.9439952485406062,0
0.20732378502220686,0.32482176912542077,0.21955995853012325,1.3384573153993962,0
0.17232602618802412,0.058893629542445196,0.16872149477710754,0.8223154451890431,0
0.19343967206771734,0.23079748443190834,0.39835248795067557,0.6008579364334456,1
